Lat,Lon,Value
22.7966683496292,103.333813566628,-114.5
22.7936598730779,103.348460484081,-129
22.7879726133168,103.322718496647,-134.5
22.786556510538,103.360233772415,-111.5
22.7859642674769,103.346605235114,-122
22.7860297578948,103.352935263422,-112
22.7860498583024,103.354882969116,-107.5
22.7860849768424,103.358291459363,-105.5
22.7850511790498,103.34564227969,-108.5
22.7841380854647,103.344679337075,-110.5
22.7836207788796,103.338354892577,-109.5
22.7835900906386,103.379261489223,-105
22.7822612249209,103.337884392742,-103.5
22.7823674350304,103.348109513523,-125.5
22.7827216771211,103.382680607843,-108.5
22.7818198743848,103.338863679027,-116.5
22.7809168863161,103.338874614385,-110.5
22.7809403237043,103.385136480103,-105.5
22.7799376858305,103.3315820448,-109.5
22.7805134438365,103.387576368608,-107.5
22.7793686883593,103.320388926957,-93.5
22.7800816113066,103.38952933034,-105.5
22.7787418323753,103.391005959624,-102.5
22.7787467420323,103.391492869215,-96
22.7776394446498,103.327714373911,-109.5
22.7783050505877,103.392471979366,-101
22.7772795693281,103.336483893359,-121.5
22.7778829519127,103.395398712561,-113.5
22.7768939424317,103.3428189421,-111.5
22.7774314449075,103.395403993253,-107
22.7764424472251,103.342824395521,-107.5
22.7769358082913,103.391027140287,-128
22.7769897281206,103.396383082735,-105.5
22.7758232691269,103.326762619143,-121.5
22.7764892113206,103.391519336706,-104.5
22.7765431136348,103.39687526302,-109.5
22.7756201739135,103.350625502571,-105.5
22.7756503448965,103.353546836894,-124.5
22.7760916062265,103.396880538509,-109.5
22.776116047363,103.399315047819,-114.5
22.7748793939549,103.322878593374,-112.5
22.7751031245253,103.344301410078,-94.5
22.7756498794841,103.397859613986,-107.5
22.7742304179591,103.347233600849,-133.5
22.7742556144411,103.349668016953,-118.5
22.7747272976417,103.395922570989,-106.5
22.7747566384285,103.398843952148,-108.5
22.7738041175196,103.349673447141,-106.5
22.774083776986,103.376939051818,-104.5
22.7743051304832,103.398849220701,-102
22.7731754738255,103.332638149025,-120.5
22.7733576551937,103.350165757625,-107.5
22.7733777788424,103.352113280734,-126
22.7729011235962,103.349684307104,-118.5
22.7732104569056,103.379871053442,-104.5
22.7734216440614,103.400807328311,-107.5
22.7734313999305,103.401781114565,-106.5
22.7729847668616,103.402273264841,-100.5
22.771826080742,103.333141477151,-100.5
22.7719880565338,103.348721415663,-124.5
22.772008196662,103.35066891792,-110
22.7720132279841,103.351155793828,-111.5
22.7725332580578,103.402278521657,-107.5
22.771531521069,103.348239974742,-125.5
22.7715365597001,103.348726848362,-125.5
22.7715415968473,103.34921372212,-125.5
22.7720817492274,103.40228377834,-106.5
22.7710900998761,103.349219153082,-125.5
22.7702875739097,103.315630840623,-109.5
22.7700302746138,103.334137141118,-105.5
22.7701820690386,103.348743145635,-120.5
22.7701871058533,103.349230014593,-118.5
22.7695736983119,103.333655758193,-105.5
22.7697406440218,103.349722312637,-120.5
22.769745677758,103.350209180271,-121.5
22.7698810277436,103.363354658244,-124.5
22.7684764776904,103.315166149524,-124
22.7686707112546,103.333666721264,-109.5
22.7686859542369,103.335127301292,-81.5
22.7687366677366,103.339995910406,-119.5
22.7688225401704,103.348272577648,-85.5
22.7683609630991,103.347304286555,-125
22.7684614976404,103.357041555594,-123.5
22.7686161532687,103.372134430798,-118.5
22.7677015197765,103.327348559714,-119.5
22.767853920634,103.341954266056,-116.5
22.7680850084841,103.364349923764,-119.5
22.7673009751394,103.332222600448,-104.5
22.7673213126101,103.334170019901,-99.5
22.7673973667103,103.341472862622,-115.5
22.7675334228674,103.354618057849,-108.5
22.7675384412131,103.355104918857,-120.5
22.7676285177237,103.363868440426,-122.5
22.7668291210659,103.330280675328,-111.5
22.7668342134813,103.330767527827,-104.5
22.7668443938614,103.331741233241,-103.5
22.7668545683072,103.332714939212,-104.5
22.7668596533047,103.333201792406,-105.5
22.7668647368187,103.333688645739,-108.5
22.7669408114989,103.340991462387,-116.5
22.7669660955461,103.343425741527,-114.5
22.7669761987797,103.344399454151,-121.5
22.7670165523697,103.348294310163,-119.5
22.7671969684823,103.365821271009,-119.5
22.7672069352203,103.366794996252,-119
22.7663929006331,103.331746720411,-92.5
22.7664589270023,103.338075798361,-105.5
22.7667105379441,103.362418623348,-121
22.7667454674946,103.365826646207,-119.5
22.7667554340133,103.36680036825,-119.5
22.7667604150472,103.367287229477,-122.5
22.7658034776209,103.318607317801,-108.5
22.7659312274462,103.330778508425,-125.5
22.765982067766,103.335647009069,-125.5
22.7662889811051,103.36534516205,-122
22.7662939664802,103.365832021268,-106.5
22.7663238475749,103.368753179436,-110.5
22.7664082206257,103.377029820808,-124
22.7664428378434,103.380437860989,-118.5
22.7664477772255,103.380924724413,-120
22.7666001621626,103.39601755731,-120
22.7654797343885,103.330783998515,-102.5
22.7658374801737,103.365350538575,-121
22.7658424654391,103.365837396193,-119.5
22.7658524315191,103.366811111839,-119.5
22.7658574123338,103.367297969866,-111
22.7658623916648,103.367784828029,-123.5
22.7648542822294,103.314236799395,-95.5
22.7648799719924,103.316671008223,-122.5
22.7650333317877,103.331276334706,-91.5
22.765150003481,103.342473836545,-120
22.7651601117591,103.34344753582,-121.5
22.7651752630502,103.344908085768,-120.5
22.765495309937,103.376066778791,-127.5
22.7644284821444,103.316676544415,-119.5
22.7645614681775,103.329334445192,-111.5
22.7645767481927,103.330794978278,-104.5
22.7645818385644,103.331281822918,-122.5
22.7645869274526,103.331768667698,-99
22.7640997815063,103.328366254833,-94.5
22.7641048791827,103.328853097178,-98
22.7641150700854,103.329826782286,-94.5
